id,label,validation_label,softmax_scores
107,1,1,0.9986971020698547
1149,0,0,0.49580374360084534
1393,1,1,0.5258640050888062
431,0,0,0.001985654467716813
937,1,1,0.9969035983085632
1394,0,0,0.005190481431782246
607,0,0,0.03421734645962715
2,1,1,0.8657089471817017
951,1,1,0.9997498393058777
1267,1,1,0.9434115290641785
945,0,0,0.018637007102370262
866,0,0,0.16541066765785217
1453,0,0,0.009195318445563316
619,1,1,0.9898526072502136
765,0,0,0.0011888790177181363
1446,0,0,0.019207552075386047
1485,1,1,0.999241828918457
940,0,0,0.009554403834044933
51,0,0,0.021264543756842613
125,1,1,0.999366819858551
671,0,0,0.003573110792785883
374,0,0,0.004006474278867245
746,0,0,0.0021077001001685858
21,0,0,0.009399735368788242
936,1,1,0.9979146122932434
1489,0,0,0.03365769237279892
827,0,0,0.04242021217942238
912,0,0,0.046154726296663284
1010,0,0,0.08744256943464279
834,1,0,0.03357166424393654
74,0,0,0.003984748851507902
1234,1,1,0.9887619614601135
1047,1,1,0.9546038508415222
546,0,0,0.00191097694914788
1014,0,0,0.0023761671036481857
1497,0,0,0.0033633422572165728
1124,1,0,0.06547146290540695
931,0,0,0.009461300447583199
904,1,0,0.005442624446004629
597,1,1,0.9996065497398376
589,1,1,0.9785647988319397
233,1,1,0.9999974966049194
919,0,0,0.009789240546524525
1321,1,1,0.9999524354934692
70,1,1,0.9992793202400208
718,1,1,0.9989336133003235
748,0,0,0.0175019558519125
465,0,0,0.10509315878152847
307,1,1,0.9522411227226257
390,0,0,0.013270544819533825
34,0,0,0.04620790109038353
731,0,0,0.06779445707798004
1236,1,1,0.9998786449432373
631,1,0,0.04382183775305748
1419,0,0,0.006511659827083349
891,0,0,0.0025087010581046343
906,0,0,0.003967908676713705
724,0,0,0.01402207463979721
846,0,0,0.002109120599925518
1364,0,0,0.007625293452292681
533,0,0,0.010625873692333698
967,0,0,0.1564137488603592
743,0,0,0.007084276527166367
488,1,1,0.9999986886978149
825,0,0,0.006065471097826958
1026,0,0,0.059790242463350296
213,0,0,0.010185753926634789
27,0,0,0.04264078289270401
853,0,0,0.004946408327668905
761,0,0,0.015581845305860043
384,1,1,0.9982566237449646
1040,0,0,0.06220109760761261
1496,1,1,0.8701978325843811
1398,0,0,0.01145599689334631
18,0,0,0.007877940312027931
935,0,0,0.0638740211725235
982,0,0,0.0027753422036767006
797,0,0,0.02322864718735218
226,0,0,0.0348394475877285
526,1,1,0.9322400093078613
302,1,1,0.9997995495796204
1499,1,1,0.9942190647125244
335,0,0,0.016529960557818413
1041,0,0,0.1447073072195053
1228,0,0,0.007582979742437601
304,0,0,0.11371716856956482
124,0,0,0.0771639347076416
1265,1,1,0.9069787263870239
3,1,0,0.009466225281357765
348,1,1,0.9982159733772278
972,0,0,0.02722654677927494
1491,0,0,0.013554980047047138
1132,0,0,0.002613240387290716
675,0,0,0.006366296671330929
111,1,1,0.9651296734809875
732,1,1,0.9994553923606873
753,0,0,0.01280858926475048
538,0,0,0.005555593874305487
1242,0,0,0.025501377880573273
1009,0,0,0.004719296470284462
879,0,0,0.14069998264312744
1255,1,1,0.7300228476524353
315,1,1,0.9999747276306152
841,0,0,0.003727696370333433
10,1,1,0.9192617535591125
525,0,0,0.13319586217403412
232,0,0,0.0005332011496648192
1110,0,0,0.0091332932934165
1474,1,1,0.9930862188339233
789,0,0,0.2283341884613037
883,0,0,0.11725159734487534
476,0,0,0.08442985266447067
131,0,0,0.01792624033987522
971,0,0,0.005899921525269747
1208,0,0,0.009531926363706589
423,0,0,0.01366730872541666
306,0,0,0.15499676764011383
1443,1,1,0.9507270455360413
1028,1,0,0.4218335747718811
1361,0,0,0.007716627791523933
181,0,0,0.0017807921394705772
725,1,1,0.9974697828292847
269,0,0,0.0029996586963534355
942,0,0,0.008883665315806866
1271,0,0,0.00204632175154984
515,1,1,0.9985970854759216
1057,0,0,0.0025932181160897017
707,0,0,0.0016915227752178907
367,0,0,0.05566129460930824
286,0,0,0.14428848028182983
1175,1,1,0.9996649026870728
289,0,0,0.010431935079395771
99,0,0,0.019207552075386047
1370,1,1,0.9452940821647644
680,1,1,0.8496043682098389
1002,1,1,0.9964119791984558
512,1,1,0.9999899864196777
242,0,0,0.0015214071609079838
537,1,1,0.8054409623146057
513,0,0,0.03456869721412659
1205,0,0,0.006519691087305546
1245,1,1,0.9999431371688843
663,0,0,0.021602651104331017
1441,1,1,0.9999632835388184
787,0,0,0.001030843472108245
878,0,0,0.002349438611418009
502,1,1,0.9997681975364685
1051,0,0,0.002216097665950656
794,0,0,0.007282945327460766
1046,0,0,0.006011993158608675
1165,1,1,0.9924364686012268
921,0,0,0.043909016996622086
963,0,0,0.002068327507004142
783,1,1,0.9999014139175415
140,1,1,0.9554734826087952
112,0,0,0.23936840891838074
468,0,0,0.028009867295622826
78,0,0,0.011686387471854687
745,1,1,0.960282027721405
664,0,0,0.03506871685385704
1263,0,0,0.020430630072951317
96,1,1,0.9999613761901855
1231,1,1,0.9999203681945801
757,1,1,0.9970411658287048
788,0,0,0.014490988105535507
974,1,1,0.9999860525131226
0,0,0,0.04019708186388016
342,1,1,0.9997069239616394
558,0,0,0.0012697246856987476
791,1,0,0.07890371978282928
1479,1,1,0.9660953879356384
516,0,0,0.05270613729953766
1178,0,0,0.009246365167200565
206,0,0,0.004257747437804937
369,1,1,0.9999979734420776
244,0,0,0.021040447056293488
820,1,1,0.9992545247077942
609,1,1,0.6319491267204285
981,0,0,0.07763182371854782
1008,1,1,0.999968409538269
492,0,0,0.003387699369341135
1347,0,0,0.0059832073748111725
1331,1,1,0.9959623217582703
519,0,0,0.001117293955758214
457,0,0,0.03934068605303764
1055,1,1,0.7862421274185181
911,0,0,0.0015959342708811164
1424,1,1,0.9997991919517517
1430,0,0,0.008822401985526085
1050,0,0,0.012199739925563335
355,0,0,0.005851303227245808
227,0,0,0.006162665784358978
1083,0,0,0.015321929007768631
1197,1,1,0.9839107990264893
571,0,0,0.02644122764468193
888,0,0,0.09283655136823654
1067,0,0,0.0046760886907577515
1350,1,1,0.9999908208847046
389,0,0,0.034685179591178894
548,0,0,0.0014278512680903077
142,0,0,0.004283522255718708
120,0,0,0.007354043889790773
196,0,0,0.3847239017486572
875,1,1,0.9997840523719788
86,0,0,0.06273714452981949
611,1,1,0.999886155128479
532,1,0,0.3725513219833374
729,0,0,0.004228530451655388
461,0,0,0.0024540312588214874
1333,1,0,0.42187562584877014
1159,0,0,0.006378624588251114
667,0,0,0.009573233313858509
626,0,0,0.006953616626560688
1295,0,0,0.009050416760146618
648,0,0,0.019725892692804337
316,0,0,0.010562276467680931
472,1,1,0.9983415603637695
251,0,0,0.0007514351746067405
333,0,0,0.008008614182472229
433,0,0,0.04418663680553436
1150,0,0,0.0678258165717125
1275,0,0,0.0032948513980954885
1064,1,1,0.9999877214431763
773,0,0,0.003653391031548381
1204,1,1,0.9989055395126343
53,0,0,0.0069456202909350395
63,1,1,0.9999974966049194
494,0,0,0.005424364935606718
1400,1,1,0.9999830722808838
59,1,1,0.5693370699882507
869,1,1,0.9988988637924194
1147,0,0,0.04382394254207611
466,0,0,0.003154634265229106
1287,1,1,0.9993568062782288
661,0,0,0.013872412964701653
547,0,0,0.0021533893886953592
1269,1,1,0.9948845505714417
1214,0,0,0.01070887129753828
105,0,0,0.004125263076275587
362,1,1,0.9852319955825806
1016,1,0,0.3842999041080475
541,0,0,0.011710838414728642
114,0,0,0.003849745262414217
463,0,0,0.014982892200350761
1141,0,0,0.0010664896108210087
845,0,0,0.0066587901674211025
259,1,1,0.9978006482124329
1122,0,0,0.002122224774211645
782,0,0,0.035047974437475204
1195,0,0,0.00489458441734314
1164,0,0,0.029894836246967316
1073,1,0,0.3230413794517517
874,0,0,0.00138188898563385
1410,0,1,0.9762335419654846
1409,0,0,0.0033447311725467443
322,0,0,0.0923415943980217
1107,0,0,0.0074783265590667725
817,0,0,0.07766727358102798
267,0,0,0.04128357395529747
1395,0,0,0.0026874495670199394
808,0,0,0.034141380339860916
1218,0,0,0.0018041380681097507
394,0,0,0.004694669507443905
256,0,0,0.001949845696799457
1436,1,1,0.9999790191650391
168,0,0,0.02932971529662609
855,0,0,0.003714854596182704
880,0,0,0.029604002833366394
881,0,0,0.18604974448680878
165,1,1,0.9897627830505371
873,0,0,0.006078639999032021
1239,0,0,0.09569855779409409
1284,1,1,0.5473528504371643
918,1,1,0.9973621964454651
913,0,0,0.01446171011775732
474,0,0,0.014015885069966316
202,1,1,0.9998393058776855
148,1,0,0.16433857381343842
812,0,0,0.015076818875968456
328,1,1,0.9987338185310364
1396,0,0,0.00414190674200654
517,0,0,0.08254406601190567
955,0,0,0.06018057093024254
458,1,1,0.7933593988418579
